159,56,69
242,188,197
207,162,150
222,188,217
77,46,61
144,139,195
139,154,197
171,194,222
70,80,130
167,180,205
130,144,174
102,117,148
189,219,230
86,149,113
159,204,141
218,216,120
191,187,32
159,132,71
180,195,193
139,154,148
152,112,172
182,147,195
201,175,221
212,195,228
136,66,56
187,129,123
223,179,166
236,217,207
120,78,36
170,103,48
158,51,50
246,227,17
184,67,81
44,50,37
48,80,111
56,97,137
142,93,92
191,136,156
105,114,117
160,167,176
53,99,61
113,160,114
177,39,42
88,128,175
169,53,62
122,85,119
110,100,167
109,152,189
216,105,123
52,70,97
152,158,212
171,188,219
190,76,66
194,49,49
220,91,75
230,120,99
244,169,144
242,202,180
158,79,57
193,122,93
88,138,93
152,193,139
196,226,180
160,144,84
165,151,93
177,174,120
141,82,32
231,169,106
189,151,122
88,99,93
127,133,139
184,193,197
156,126,68
208,186,121
117,88,45
146,106,50
181,135,71
205,165,104
217,184,121
245,213,0
240,237,133
151,139,129
187,174,166
203,199,187
100,125,55
136,160,64
149,174,88
193,206,123
153,52,49
46,76,59
74,120,98
104,152,126
130,177,154
65,130,83
67,120,164
100,161,185
145,192,215
82,109,74
142,162,125
162,179,141
173,181,151
99,107,91
224,214,189
81,57,87
136,92,144
162,120,170
206,168,204
55,117,87
89,155,109
135,195,158
156,208,171
104,119,45
132,150,48
112,174,180
151,204,202
181,55,86
205,68,108
215,83,126
235,128,167
236,154,185
242,186,211
223,45,35
244,70,52
115,105,67
137,128,85
173,159,112
199,197,162
138,98,69
146,141,105
165,163,129
203,203,172
116,126,101
135,142,121
161,168,143
186,191,173
209,38,39
226,202,123
224,217,161
173,142,65
16,107,61
46,130,72
61,140,75
89,160,82
129,184,94
147,189,87
232,233,216
169,67,114
218,98,38
239,127,64
246,167,102
244,210,78
245,227,83
241,234,132
236,191,60
204,172,88
115,112,43
132,126,42
172,162,62
188,179,91
217,195,143
229,218,178
245,116,25
246,151,38
248,190,41
246,216,87
242,229,129
239,234,162
233,235,204
199,232,232
238,205,175
228,179,147
238,158,149
242,191,184
217,223,225
208,228,175
206,228,232
138,55,59
218,183,182
109,87,72
151,104,44
180,131,43
206,158,55
66,71,121
88,101,158
119,142,182
146,175,205
48,66,127
65,87,148
76,113,179
121,158,202
174,207,228
108,83,47
44,73,111
96,165,182
145,177,219
131,176,205
113,57,51
134,57,50
151,62,59
176,43,35
239,216,212
237,226,220
40,57,117
227,226,200
47,56,74
59,98,146
64,112,161
94,145,188
173,209,229
192,223,226
112,94,44
124,112,50
140,125,49
170,149,58
187,169,80
205,190,103
93,77,53
111,94,67
147,131,96
171,156,125
208,198,171
94,99,81
129,107,55
39,82,47
229,69,91
240,96,111
241,114,134
244,148,167
60,98,58
99,81,47
230,129,148
203,68,49
107,59,51
73,116,53
88,135,47
107,169,32
152,190,48
23,118,71
33,135,81
62,158,102
95,183,132
123,198,146
126,52,73
155,69,106
145,77,45
165,79,40
175,89,45
200,112,56
224,135,73
66,96,92
128,154,148
166,189,180
191,208,201
67,94,103
103,137,151
143,174,185
62,74,49
73,92,59
86,100,50
93,113,54
80,68,43
39,45,52
27,153,127
238,206,166
229,75,36
233,78,43
237,225,204
231,203,175
237,222,189
144,209,158
187,233,193
238,102,136
246,162,181
76,178,160
104,193,178
220,116,133
228,138,155
241,206,210
157,221,213
167,206,175
243,200,182
249,118,53
243,185,6
245,214,2
139,91,44
196,135,51
222,167,85
58,116,59
94,140,80
119,167,93
135,180,110
36,122,101
87,169,146
120,190,167
1,108,192
45,164,227
118,116,63
149,146,83
177,178,123
89,87,61
150,155,126
178,182,154
203,207,192
82,75,48
167,160,121
220,218,194
146,121,128
180,167,176
182,162,101
207,196,127
222,217,164
98,107,64
143,154,109
162,173,128
199,155,118
213,221,209
237,236,169
163,196,224
239,171,176
210,108,98
247,126,91
247,170,144
72,109,58
107,142,77
127,162,92
182,199,127
185,85,105
227,165,170
86,107,68
114,141,96
150,168,113
58,57,38
191,99,147
223,146,189
233,175,211
124,61,68
185,101,123
211,136,155
234,182,200
229,91,94
248,131,142
245,167,182
223,131,120
240,209,203
241,174,186
159,87,78
178,108,103
159,109,109
213,171,178
202,106,124
221,142,152
124,98,102
202,195,203
125,123,185
204,213,231
47,77,93
172,199,209
196,218,224
145,182,214
221,233,231
82,141,174
175,217,228
48,116,146
137,196,209
93,125,123
236,232,211
232,181,143
165,125,95
230,212,183
207,131,72
147,66,52
214,148,120
235,192,167
107,95,62
191,183,147
113,113,85
135,122,90
76,84,74
232,68,78
123,68,75
146,73,91
200,70,115
213,87,134
226,128,165
104,122,171
41,97,107
47,121,130
83,151,160
172,217,215
6,144,129
157,196,178
51,138,118
83,138,109
113,167,141
146,188,166
20,104,64
197,194,79
217,182,61
225,196,84
233,212,113
236,237,197
246,187,164
245,186,130
178,117,52
234,186,108
184,157,93
166,134,58
182,100,74
182,70,78
212,96,107
226,132,141
113,73,96
152,108,139
185,145,173
135,93,155
107,131,190
130,154,206
168,196,229
184,213,226
44,95,135
0,126,201
0,141,188
0,181,217
23,197,226
29,111,102
60,143,133
99,171,163
16,135,105
72,174,147
203,162,37
227,142,57
242,179,92
240,215,136
239,198,141
118,72,51
143,93,76
193,141,118
140,117,103
167,147,136
137,114,76
163,138,101
195,177,144
222,225,219
227,228,212
174,161,175
